rank,team,run_id,model,model_type,f1_score,accuracy,precision,recall,prediction_hash,submission_date,submitter,submitter_url,pr_number,submission_path
1,Abderrahmane,run_01,GCN,human,0.5,0.54,0.39,0.35,58cbb3bd3d504443e70b1ccbf20f34a7106565d18669a0c4dc5d8fad10846af9,2026-03-13 15:08,abdksm,https://github.com/abdksm,,submissions/inbox/Abderrahmane/run_01/predictions.csv.enc
2,TugaYousif,run_2,GAT,human,0.49,0.55,0.39,0.28,071632a8d4b8f9dd7e8f51abe7038ed570b11e98c2bd25e38f165b35ebc600c9,2026-03-26 17:25,TugaAhmed,https://github.com/TugaAhmed,,submissions/inbox/TugaYousif/run_2/predictions.csv.enc
3,hadilaff,run_001,GNN,human,0.44,0.48,0.31,0.28,a080c7212df63a048ba0cbcf588e7536b1838cd66b083cc0cf37b9b711ab0c07,2026-04-03 21:27,hadilaff,https://github.com/hadilaff,,submissions/inbox/hadilaff/run_001/predictions.csv.enc
3,sanae,run_001,GaphSage_3layers,human,0.44,0.61,0.5,0.07,6f0e8fd19176ae4f95375cd1d07f01a76403984f4819a0f1ff0e4e9c82e1cf19,2026-03-14 13:11,SanaeZR,https://github.com/SanaeZR,,submissions/inbox/sanae/run_001/predictions.csv.enc
4,Mubaraq,run_001,GAT Test,human,0.38,0.61,0.0,0.0,18d499c2065bd3822162f6e3819dacad95708f9420e0d7a7ee194924d82f5925,2026-03-08 22:12,Mubarraqqq,https://github.com/Mubarraqqq,,submissions/inbox/Mubaraq/run_001/predictions.csv.enc
4,Tasneem,run_1,Tasneem-run_1,unknown,0.38,0.61,0.0,0.0,7e2cd1ebbb3e38ea15dfe7e5b06ce0731ceb415c2ff3ad3f0059ccdc2246d0b0,2026-04-01 17:43,participant,https://github.com/participant,,submissions/inbox/Tasneem/run_1/predictions.csv.enc
5,Ignatius,run_002,Ignatius-run_002,unknown,0.34,0.35,0.24,0.3,27abee902100321b503d6d1387865ee04a0665f7bec6be5545dd6cc08110723e,2026-04-05 02:37,participant,https://github.com/participant,,submissions/inbox/Ignatius/run_002/predictions.csv.enc
6,Elhouiti_ikram,run_05,My GNN V1,human,0.33,0.4,0.15,0.12,97e988a81ff84a81c41963281dd13bb2649afcffe6063fdcdec84cec92acb8bf,2026-03-08 22:12,El-Ikram,https://github.com/El-Ikram,,submissions/inbox/Elhouiti_ikram/run_05/predictions.csv.enc
6,organizers,advanced_gnn,Advanced GNN (GraphSAGE),human,0.33,0.4,0.15,0.12,97e988a81ff84a81c41963281dd13bb2649afcffe6063fdcdec84cec92acb8bf,2026-03-26 17:25,organizer_bot,https://github.com/organizer_bot,,submissions/inbox/organizers/advanced_gnn/predictions.csv
7,Murad,run_01,GraphSAGE v1,human,0.31,0.39,0.38,0.93,cadba168ffed9d596f3f9d4e23de47727d87633fd549c56ba23fe7fc00223365,2026-03-24 18:24,Murad-Hossen,https://github.com/Murad-Hossen,,submissions/inbox/Murad/run_01/predictions.csv.enc
8,AIkram,run_1,AIkram-run_1,unknown,0.28,0.35,0.36,0.86,a52a8f687ee8fd454caa4749a098ca9b2917b31c77dadb03c07dfc00e7abdc04,2026-03-19 17:14,participant,https://github.com/participant,,submissions/inbox/AIkram/run_1/predictions.csv.enc
8,samuel,run_01,GCN,human,0.28,0.39,0.39,1.0,32f1814b94bab06178659c007b467a021673634b8269b16a850ff50db113d232,2026-03-08 22:12,samuelmatia,https://github.com/samuelmatia,,submissions/inbox/samuel/run_01/predictions.csv.enc
8,Muhammad_Isah,run_01,SAGEGNN,human,0.28,0.39,0.39,1.0,87e561b359b2fdd895d3d41bec3f1af13707850a1b84e189a06b6f81afcaacd1,2026-03-14 14:01,Muhammad0isah,https://github.com/Muhammad0isah,,submissions/inbox/Muhammad_Isah/run_01/predictions.csv.enc
